 iteration	    volume	       obj	 step-size	num-reeval	succ-objdiff	 stnrty-L2	  stnrty-B	
159,	6.85965032e-01,	7.36636337e+02,	2.76805909e-03,	0,	5.81117852e+00,	1.78179024e+03,	1.82450156e+01,	
160,	6.52122015e-01,	7.19684022e+02,	7.40616807e-02,	1,	1.69523151e+01,	1.83736842e+03,	1.00014866e+02,	
161,	6.49490353e-01,	7.13463984e+02,	3.36282054e-02,	0,	6.22003811e+00,	1.83113992e+03,	4.19547949e+01,	
162,	6.47016104e-01,	7.08999291e+02,	2.93701017e-02,	0,	4.46469244e+00,	1.82716919e+03,	6.27160796e+00,	
163,	6.41138390e-01,	7.04362086e+02,	3.26240897e-02,	0,	4.63720557e+00,	4.81479232e+03,	6.39586476e+00,	
164,	6.21967101e-01,	6.95125899e+02,	2.37560723e-01,	1,	9.23618625e+00,	1.79577501e+03,	2.15684108e+01,	
165,	6.26110768e-01,	6.93101060e+02,	7.39292349e-02,	0,	2.02483938e+00,	4.66857292e+03,	3.15459247e+00,	
166,	6.22465193e-01,	6.89173651e+02,	6.72425173e-02,	0,	3.92740887e+00,	1.97897005e+03,	3.10857569e+00,	
167,	6.06041476e-01,	6.87957307e+02,	3.27799055e-01,	1,	1.21634434e+00,	4.53232782e+03,	1.45480465e+01,	
168,	6.09159194e-01,	6.85077810e+02,	8.55514818e-02,	0,	2.87949637e+00,	4.51731842e+03,	2.86697849e+00,	
169,	6.07548617e-01,	6.82300554e+02,	8.20784604e-02,	0,	2.77725674e+00,	4.49738580e+03,	2.41418387e+00,	
170,	5.97051381e-01,	6.73766651e+02,	7.82584984e-01,	1,	8.53390237e+00,	4.39332212e+03,	2.66952956e+00,	
171,	5.97213852e-01,	6.71868597e+02,	7.24601218e-01,	0,	1.89805425e+00,	4.38987962e+03,	1.95579676e+00,	
172,	5.91937424e-01,	6.66621342e+02,	6.58738487e-01,	0,	5.24725493e+00,	3.91749051e+03,	1.52011754e+00,	
173,	5.84828761e-01,	6.62485353e+02,	1.88529608e+00,	0,	4.13598929e+00,	4.12539693e+03,	1.28827724e+01,	
174,	5.85124779e-01,	6.60471294e+02,	9.13027876e-01,	0,	2.01405902e+00,	2.07182872e+03,	7.54118211e-01,	
175,	5.82716640e-01,	6.58495777e+02,	8.78077201e-01,	0,	1.97551633e+00,	4.05699046e+03,	2.32264753e-01,	
176,	5.74948058e-01,	6.56689109e+02,	4.67629042e+00,	0,	1.80666837e+00,	4.17985976e+03,	1.05157001e+00,	
177,	5.75219083e-01,	6.52047330e+02,	3.07398743e+00,	0,	4.64177896e+00,	4.16943534e+03,	1.97272970e-01,	
178,	5.72137692e-01,	6.49962734e+02,	3.59136468e+00,	0,	2.08459563e+00,	4.12935153e+03,	4.01519711e-02,	
179,	5.68389787e-01,	6.46389028e+02,	7.76792789e+00,	0,	3.57370659e+00,	3.93694841e+03,	5.59084412e-01,	
180,	5.65742183e-01,	6.46333452e+02,	9.76198116e+00,	0,	5.55756123e-02,	2.08142087e+03,	8.16579892e-01,	
181,	5.63811699e-01,	6.42218808e+02,	7.43455093e+00,	0,	4.11464382e+00,	4.05952998e+03,	3.48944515e-02,	
182,	5.61713477e-01,	6.40447112e+02,	8.04642897e+00,	0,	1.77169658e+00,	4.04898949e+03,	3.25162487e-01,	
183,	5.57056695e-01,	6.38199232e+02,	2.16858043e+01,	0,	2.24787934e+00,	2.07784773e+03,	8.77269911e-02,	
184,	5.56549215e-01,	6.36972329e+02,	1.47308302e+01,	0,	1.22690320e+00,	4.00373748e+03,	2.63729748e-03,	
185,	5.55144129e-01,	6.35898379e+02,	1.38258273e+01,	0,	1.07395027e+00,	3.98496642e+03,	1.15194930e-01,	
186,	5.52185082e-01,	6.33833389e+02,	2.37112976e+01,	0,	2.06499011e+00,	3.96605103e+03,	2.56083660e-03,	
187,	5.48919527e-01,	6.32483751e+02,	4.76753957e+01,	0,	1.34963803e+00,	2.30195012e+03,	4.93428340e-03,	
188,	5.48645019e-01,	6.31834538e+02,	2.34939200e+01,	0,	6.49212478e-01,	3.92811714e+03,	1.88974034e-04,	
189,	5.47825757e-01,	6.30775952e+02,	1.90205351e+01,	0,	1.05858621e+00,	3.92888072e+03,	2.71017625e-02,	
190,	5.46279946e-01,	6.29778839e+02,	2.06636921e+01,	0,	9.97113399e-01,	3.91698956e+03,	4.48994274e-03,	
191,	5.45331833e-01,	6.29124654e+02,	2.39289867e+01,	0,	6.54184670e-01,	3.90432892e+03,	2.58022831e-03,	
192,	5.43809969e-01,	6.28045979e+02,	2.99067178e+01,	0,	1.07867465e+00,	2.26949243e+03,	5.93080100e-02,	
193,	5.42651303e-01,	6.27600121e+02,	3.52665489e+01,	0,	4.45858289e-01,	3.88704788e+03,	2.96908004e-02,	
194,	5.41863922e-01,	6.26815193e+02,	3.21528332e+01,	0,	7.84928454e-01,	3.88046231e+03,	3.02632977e-01,	
195,	5.41091922e-01,	6.26387028e+02,	2.75880838e+01,	0,	4.28164638e-01,	3.86710299e+03,	2.09089562e-03,	
196,	5.40566793e-01,	6.25948934e+02,	3.00080680e+01,	0,	4.38094548e-01,	3.87010376e+03,	1.31350722e-02,	
197,	5.39853079e-01,	6.25439098e+02,	3.15608413e+01,	0,	5.09835142e-01,	3.86437235e+03,	2.76762918e-02,	
198,	5.38868695e-01,	6.24727419e+02,	4.37081279e+01,	0,	7.11679121e-01,	3.85575030e+03,	2.70459991e-02,	
199,	5.37994421e-01,	6.24397838e+02,	4.75192115e+01,	0,	3.29581449e-01,	3.84967820e+03,	1.04521912e-03,	
200,	5.37338257e-01,	6.23750084e+02,	3.35099629e+01,	0,	6.47753679e-01,	3.83152927e+03,	2.50985149e-04,	
201,	5.36596956e-01,	6.23165933e+02,	3.82294443e+01,	0,	5.84150776e-01,	3.83778035e+03,	2.99754356e-02,	
202,	5.35903924e-01,	6.22763961e+02,	6.18585966e+01,	0,	4.01971929e-01,	3.08670803e+03,	7.34022772e-03,	
203,	5.34683228e-01,	6.22050659e+02,	8.61083991e+01,	0,	7.13301958e-01,	3.63396198e+03,	9.61468260e-09,	
204,	5.33782959e-01,	6.21641309e+02,	8.46776417e+01,	0,	4.09350776e-01,	3.81567770e+03,	1.32629746e-05,	
205,	5.33493125e-01,	6.21191306e+02,	6.25672388e+01,	0,	4.50002678e-01,	3.81314166e+03,	1.53493467e-02,	
206,	5.32671784e-01,	6.20620383e+02,	6.33098132e+01,	0,	5.70923345e-01,	3.80645630e+03,	2.62057233e-01,	
207,	5.31936646e-01,	6.20326019e+02,	8.85291622e+01,	0,	2.94363603e-01,	3.80097096e+03,	1.69843130e-07,	
